areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
E12000001,North East,region,2021-10-10,317
E12000001,North East,region,2021-10-09,525
E12000001,North East,region,2021-10-08,508
E12000001,North East,region,2021-10-07,515
E12000001,North East,region,2021-10-06,628
E12000001,North East,region,2021-10-05,812
E12000001,North East,region,2021-10-04,733
E12000001,North East,region,2021-10-03,364
E12000001,North East,region,2021-10-02,594
E12000001,North East,region,2021-10-01,743
E12000001,North East,region,2021-09-30,1111
E12000001,North East,region,2021-09-29,1223
E12000001,North East,region,2021-09-28,1031
E12000001,North East,region,2021-09-27,617
E12000001,North East,region,2021-09-26,357
E12000001,North East,region,2021-09-25,629
E12000001,North East,region,2021-09-24,525
E12000001,North East,region,2021-09-23,569
E12000001,North East,region,2021-09-22,690
E12000001,North East,region,2021-09-21,451
E12000001,North East,region,2021-09-20,442
E12000001,North East,region,2021-09-19,484
E12000001,North East,region,2021-09-18,778
E12000001,North East,region,2021-09-17,660
E12000001,North East,region,2021-09-16,878
E12000001,North East,region,2021-09-15,958
E12000001,North East,region,2021-09-14,516
E12000001,North East,region,2021-09-13,395
E12000001,North East,region,2021-09-12,686
E12000001,North East,region,2021-09-11,789
E12000001,North East,region,2021-09-10,895
E12000001,North East,region,2021-09-09,977
E12000001,North East,region,2021-09-08,793
E12000001,North East,region,2021-09-07,690
E12000001,North East,region,2021-09-06,531
E12000001,North East,region,2021-09-05,709
E12000001,North East,region,2021-09-04,1201
E12000001,North East,region,2021-09-03,1137
E12000001,North East,region,2021-09-02,1327
E12000001,North East,region,2021-09-01,1245
E12000001,North East,region,2021-08-31,927
E12000001,North East,region,2021-08-30,534
E12000001,North East,region,2021-08-29,1086
E12000001,North East,region,2021-08-28,1505
E12000001,North East,region,2021-08-27,1413
E12000001,North East,region,2021-08-26,2132
E12000001,North East,region,2021-08-25,2444
E12000001,North East,region,2021-08-24,1580
E12000001,North East,region,2021-08-23,1004
E12000001,North East,region,2021-08-22,1497
E12000001,North East,region,2021-08-21,1902
E12000001,North East,region,2021-08-20,1714
E12000001,North East,region,2021-08-19,1722
E12000001,North East,region,2021-08-18,2185
E12000001,North East,region,2021-08-17,1642
E12000001,North East,region,2021-08-16,886
E12000001,North East,region,2021-08-15,1723
E12000001,North East,region,2021-08-14,1740
E12000001,North East,region,2021-08-13,1746
E12000001,North East,region,2021-08-12,1818
E12000001,North East,region,2021-08-11,2866
E12000001,North East,region,2021-08-10,1377
E12000001,North East,region,2021-08-09,812
E12000001,North East,region,2021-08-08,1101
E12000001,North East,region,2021-08-07,1908
E12000001,North East,region,2021-08-06,1119
E12000001,North East,region,2021-08-05,1330
E12000001,North East,region,2021-08-04,1309
E12000001,North East,region,2021-08-03,1063
E12000001,North East,region,2021-08-02,777
E12000001,North East,region,2021-08-01,847
E12000001,North East,region,2021-07-31,1496
E12000001,North East,region,2021-07-30,1260
E12000001,North East,region,2021-07-29,1831
E12000001,North East,region,2021-07-28,1628
E12000001,North East,region,2021-07-27,1157
E12000001,North East,region,2021-07-26,1007
E12000001,North East,region,2021-07-25,1191
E12000001,North East,region,2021-07-24,2439
E12000001,North East,region,2021-07-23,1872
E12000001,North East,region,2021-07-22,2109
E12000001,North East,region,2021-07-21,2034
E12000001,North East,region,2021-07-20,1611
E12000001,North East,region,2021-07-19,1581
E12000001,North East,region,2021-07-18,2089
E12000001,North East,region,2021-07-17,3319
E12000001,North East,region,2021-07-16,2723
E12000001,North East,region,2021-07-15,3254
E12000001,North East,region,2021-07-14,2462
E12000001,North East,region,2021-07-13,1888
E12000001,North East,region,2021-07-12,1677
E12000001,North East,region,2021-07-11,1766
E12000001,North East,region,2021-07-10,3602
E12000001,North East,region,2021-07-09,3232
E12000001,North East,region,2021-07-08,4322
E12000001,North East,region,2021-07-07,4372
E12000001,North East,region,2021-07-06,3460
E12000001,North East,region,2021-07-05,3199
E12000001,North East,region,2021-07-04,5160
E12000001,North East,region,2021-07-03,5891
E12000001,North East,region,2021-07-02,5835
E12000001,North East,region,2021-07-01,7820
E12000001,North East,region,2021-06-30,6622
E12000001,North East,region,2021-06-29,6723
