
observation_date,CLVMNACSCAB1GQUK,Administration,Party,Months-From-Election,Change in GDP,Change in Change
1975-01-01,180405.0,Wilson-Callaghan,Labour,3,,
1975-04-01,177442.3,Wilson-Callaghan,Labour,6,-1.642%,
1975-07-01,176835.5,Wilson-Callaghan,Labour,9,-0.342%,1.300%
1975-10-01,178863.1,Wilson-Callaghan,Labour,12,1.147%,1.489%
1976-01-01,181693.7,Wilson-Callaghan,Labour,15,1.583%,0.436%
1976-04-01,181393.5,Wilson-Callaghan,Labour,18,-0.165%,-1.748%
1976-07-01,183664.4,Wilson-Callaghan,Labour,21,1.252%,1.417%
1976-10-01,187560.4,Wilson-Callaghan,Labour,24,2.121%,0.869%
1977-01-01,187613.7,Wilson-Callaghan,Labour,27,0.028%,-2.093%
1977-04-01,186310.5,Wilson-Callaghan,Labour,30,-0.695%,-0.723%
1977-07-01,187608.3,Wilson-Callaghan,Labour,33,0.697%,1.391%
1977-10-01,190827.0,Wilson-Callaghan,Labour,36,1.716%,1.019%
1978-01-01,192529.0,Wilson-Callaghan,Labour,39,0.892%,-0.824%
1978-04-01,194771.8,Wilson-Callaghan,Labour,42,1.165%,0.273%
1978-07-01,197449.6,Wilson-Callaghan,Labour,45,1.375%,0.210%
1978-10-01,199240.3,Wilson-Callaghan,Labour,48,0.907%,-0.468%
1979-01-01,198533.1,Wilson-Callaghan,Labour,51,-0.355%,-1.262%
1979-04-01,207302.7,Wilson-Callaghan,Labour,54,4.417%,4.772%
1979-07-01,202701.3,Thatcher-Major,Conservative,3,-2.220%,-6.637%
1979-10-01,204845.6,Thatcher-Major,Conservative,6,1.058%,3.278%
1980-01-01,202901.2,Thatcher-Major,Conservative,9,-0.949%,-2.007%
1980-04-01,198842.4,Thatcher-Major,Conservative,12,-2.000%,-1.051%
1980-07-01,198646.1,Thatcher-Major,Conservative,15,-0.099%,1.902%
1980-10-01,196470.2,Thatcher-Major,Conservative,18,-1.095%,-0.997%
1981-01-01,196223.3,Thatcher-Major,Conservative,21,-0.126%,0.970%
1981-04-01,196624.9,Thatcher-Major,Conservative,24,0.205%,0.330%
1981-07-01,198742.9,Thatcher-Major,Conservative,27,1.077%,0.873%
1981-10-01,198991.6,Thatcher-Major,Conservative,30,0.125%,-0.952%
1982-01-01,199378.6,Thatcher-Major,Conservative,33,0.194%,0.069%
1982-04-01,201503.9,Thatcher-Major,Conservative,36,1.066%,0.871%
1982-07-01,202025.7,Thatcher-Major,Conservative,39,0.259%,-0.807%
1982-10-01,203445.6,Thatcher-Major,Conservative,42,0.703%,0.444%
1983-01-01,207170.7,Thatcher-Major,Conservative,45,1.831%,1.128%
1983-04-01,208942.3,Thatcher-Major,Conservative,48,0.855%,-0.976%
1983-07-01,211229.5,Thatcher-Major,Conservative,51,1.095%,0.240%
1983-10-01,213054.5,Thatcher-Major,Conservative,54,0.864%,-0.231%
1984-01-01,214529.5,Thatcher-Major,Conservative,57,0.692%,-0.172%
1984-04-01,212651.1,Thatcher-Major,Conservative,60,-0.876%,-1.568%
1984-07-01,214026.7,Thatcher-Major,Conservative,63,0.647%,1.522%
1984-10-01,218259.1,Thatcher-Major,Conservative,66,1.978%,1.331%
1985-01-01,220048.9,Thatcher-Major,Conservative,69,0.820%,-1.157%
1985-04-01,224709.1,Thatcher-Major,Conservative,72,2.118%,1.298%
1985-07-01,224905.3,Thatcher-Major,Conservative,75,0.087%,-2.030%
1985-10-01,225448.8,Thatcher-Major,Conservative,78,0.242%,0.154%
1986-01-01,228005.5,Thatcher-Major,Conservative,81,1.134%,0.892%
1986-04-01,229697.6,Thatcher-Major,Conservative,84,0.742%,-0.392%
1986-07-01,230743.0,Thatcher-Major,Conservative,87,0.455%,-0.287%
1986-10-01,234865.1,Thatcher-Major,Conservative,90,1.786%,1.331%
1987-01-01,237048.3,Thatcher-Major,Conservative,93,0.930%,-0.857%
1987-04-01,240525.6,Thatcher-Major,Conservative,96,1.467%,0.537%
1987-07-01,246369.6,Thatcher-Major,Conservative,99,2.430%,0.963%
1987-10-01,249159.6,Thatcher-Major,Conservative,102,1.132%,-1.297%
1988-01-01,253600.0,Thatcher-Major,Conservative,105,1.782%,0.650%
1988-04-01,255094.9,Thatcher-Major,Conservative,108,0.589%,-1.193%
1988-07-01,258980.1,Thatcher-Major,Conservative,111,1.523%,0.934%
1988-10-01,261210.3,Thatcher-Major,Conservative,114,0.861%,-0.662%
1989-01-01,262361.5,Thatcher-Major,Conservative,117,0.441%,-0.420%
1989-04-01,264088.9,Thatcher-Major,Conservative,120,0.658%,0.218%
1989-07-01,264352.0,Thatcher-Major,Conservative,123,0.100%,-0.559%
1989-10-01,264603.4,Thatcher-Major,Conservative,126,0.095%,-0.005%
