 Countries (2011) ,PERSONAL FREEDOM,ECONOMIC FREEDOM,HUMAN FREEDOM INDEX,GDP PER CAPITA
 Albania ,7.7,7.18,7.44,11052.79046
 Algeria ,5.17,5.2,5.18,11078.24233
 Angola ,5.09,5.23,5.16,7675.446085
 Argentina ,8.29,5.82,7.05,24647.62927
 Armenia ,7.19,7.73,7.46,9725.27823
 Australia ,9.26,7.93,8.6,45463.682
 Austria ,9.29,7.52,8.41,53102.95084
 Azerbaijan ,5.69,6.19,5.94,13905.24576
 Bahamas ,7.66,7.4,7.53,36253.6681
 Bahrain ,6.09,7.76,6.92,44157.47964
 Bangladesh ,5.47,6.41,5.94,3034.951082
 Barbados ,7.88,6.82,7.35,15444.74632
 Belgium ,9.24,7.31,8.28,48153.93909
 Belize ,7.24,6.6,6.92,7259.851886
 Benin ,7.09,6.11,6.6,2707.8697
 Bolivia ,7.58,6.39,6.98,6844.983783
 Bosnia Herzegovina ,7.94,6.73,7.33,11176.87682
 Botswana ,6.2,7.23,6.72,14770.43904
 Brazil ,7.65,6.57,7.11,15323.33173
 Brunei ,6.38,7.03,6.71,69388.8132
 Bulgaria ,8.33,7.38,7.85,17966.15806
 Burkina Faso ,7.21,5.95,6.58,1775.779179
 Burundi ,6.03,5.21,5.62,852.5026216
 Cambodia ,7.2,7.06,7.13,2862.908046
 Cameroon ,5.93,6.33,6.13,3126.786237
 Canada ,9.29,7.87,8.58,45822.59643
 Cape Verde ,8.28,6.54,7.41,6366.128511
 Central African Republic ,5.11,5.32,5.21,1242.714801
 Chad ,5.51,5.07,5.29,1676.769458
 Chile ,8.34,7.94,8.14,22337.86056
 China ,5.25,6.32,5.79,9686.61529
 Colombia ,6.44,6.6,6.52,12480.54655
" Congo, Democratic Republic of ",4.21,5.43,4.82,17360.20159
 Costa Rica ,8.13,7.61,7.87,3417.778385
 Cote d'Ivoire ,6.04,5.98,6.01,24316.24798
 Croatia ,8.43,6.91,7.67,37562.44914
 Cyprus ,8.59,7.62,8.11,34002.18978
 Czech Republic ,9.13,7.23,8.18,894.8265445
 Denmark ,9.57,7.64,8.6,51293.20618
 Dominican Republic ,6.83,7.19,7.01,13024.32852
 East Timor ,6.8,6.41,6.61,3045.45796
 Ecuador ,7.47,5.84,6.65,10984.28377
 Egypt ,4.95,6.33,5.64,10302.44285
 El Salvador ,6.63,7.14,6.89,7575.63974
 Estonia ,8.83,7.68,8.26,28159.58027
 Ethiopia ,5.27,5.21,5.24,1360.938522
 Fiji ,7.33,7.14,7.23,10787.66056
 Finland ,9.45,7.8,8.62,46825.82484
 France ,8.77,7.29,8.03,42864.01897
 Gabon ,6.14,5.74,5.94,14883.49426
" Gambia, The ",5.79,7.07,6.43,2091.828766
 Georgia ,7.43,7.62,7.52,10541.4719
 Germany ,9.36,7.6,8.48,49684.61307
 Ghana ,7.58,6.44,7.01,4151.481422
 Greece ,8.67,6.68,7.67,30372.76057
 Guatemala ,5.72,7.33,6.52,7503.674656
 Guinea-Bissau ,6.01,5.81,5.91,1839.692742
 Guyana ,7.77,6.38,7.07,10276.03552
 Haiti ,7.06,6.62,6.84,2860.209386
 Honduras ,5.8,7.33,6.56,4956.402852
 Hong Kong ,9.14,8.92,9.03,53472.99327
 Hungary ,8.67,7.36,8.01,24971.47736
 Iceland ,9.37,6.76,8.07,48186.16729
 India ,7.43,6.6,7.01,4399.88824
 Indonesia ,7.13,6.91,7.02,8680.213342
 Iran ,4,5.8,4.9,14005.31334
 Ireland ,9.32,7.74,8.53,53812.79473
 Israel ,7.86,7.32,7.59,35743.53861
 Italy ,8.99,7.18,8.09,42892.30556
 Jamaica ,7,7.03,7.02,9546.493803
 Japan ,8.71,7.44,8.08,37612.38831
 Jordan ,5.88,7.77,6.82,11016.39524
 Kazakhstan ,6.14,6.98,6.56,21970.08392
 Kenya ,6.66,6.98,6.82,3439.343778
" Korea, Republic of ",8.58,7.48,8.03,35388.97691
 Kuwait ,6.04,7.21,6.62,60887.68305
 Kyrgyz Republic ,6.16,6.62,6.39,4334.660789
 Latvia ,8.93,7.28,8.11,22795.19771
 Lebanon ,6.71,7.29,7,18727.01294
 Lesotho ,6.61,6.26,6.44,2444.928082
 Lithuania ,8.82,7.6,8.21,25968.58342
 Luxembourg ,9.39,7.43,8.41,108010.7086
 Macedonia ,8.22,7.09,7.66,13714.57522
 Madagascar ,7.14,6.25,6.69,1534.939706
 Malawi ,7.21,6.31,6.76,1376.167704
 Malaysia ,6.06,7.03,6.55,21289.25754
 Mali ,6.73,6.12,6.42,2085.420849
 Malta ,9.28,7.65,8.47,32881.83384
 Mauritania ,5.79,6.06,5.92,4822.16904
 Mauritius ,8.48,8,8.24,17454.78008
 Mexico ,6.73,6.72,6.72,18186.22457
 Moldova ,7.27,6.72,6.99,9052.866543
 Mongolia ,7.61,7.1,7.35,8613.313624
 Montenegro ,8.33,7.13,7.73,17287.41764
 Morocco ,5.97,6.56,6.27,6522.373743
 Mozambique ,6.61,5.83,6.22,1073.478134
 Myanmar ,4.23,4.38,4.31,3279.665488
 Namibia ,7.21,6.39,6.8,9324.528875
 Nepal ,7.3,6.23,6.76,2793.024734
 Netherlands ,9.37,7.5,8.43,52594.22901
 New Zealand ,9.06,8.13,8.6,38214.47454
 Nicaragua ,6.39,7.39,6.89,4837.537091
