country,year,HFI,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
Albania,2010,7.4,5.268936634,9.203025818,0.73315227,67.41369629,0.568958402,-0.177532762,0.726261675,0.647908092,0.300060242,,-0.033830658,-0.246433005,1.862201214,0.353430182,,0.30325,0.54352808
Albania,2012,7.36,5.510124207,9.246648788,0.784501791,68.02888489,0.601512134,-0.174558803,0.847675204,0.606635928,0.271393239,0.364893705,-0.06078377,-0.328862011,1.92120254,0.348667741,0.29,0.30325,0.568152606
Albania,2014,7.45,4.813763142,9.278097153,0.625586927,68.51210022,0.734648407,-0.030552704,0.882704437,0.684910536,0.334542662,0.49878639,0.314873487,-0.187407121,2.660069466,0.552596688,,0.30325,0.417218775
Albania,2016,7.63,4.511100769,9.337774277,0.638411462,68.87181091,0.72981894,-0.023275997,0.901070774,0.675243735,0.321705997,0.400909811,0.208455563,-0.139161408,2.646668196,0.586701214,,0.30325,0.416540354
Algeria,2010,5.02,5.46356678,9.462700844,,64.29898071,0.592695832,-0.232023388,0.618037879,,,,-1.140852928,-0.74009335,1.626279473,0.29765895,,0.276,0.492713004
Algeria,2012,5.1,5.604595661,9.485086441,0.839396894,64.73936462,0.586663485,-0.198870689,0.690116346,0.604023278,0.22971566,,-1.115534902,-0.77117157,1.939236641,0.346008301,,0.276,0.421408623
Algeria,2014,5.04,6.354898453,9.509209633,0.818189442,65.13015747,,,,0.62590462,0.176866099,,-1.002866626,-0.783428013,1.632460713,0.25688228,,0.276,0.47549203
Algeria,2016,5.3,5.340853691,9.541166306,0.748588264,65.50951385,,,,0.66051048,0.377111971,,-1.008261681,-0.814303935,2.114553452,0.395920485,,0.276,0.604616702
Angola,2012,5.66,4.360249996,8.699287415,0.752592862,51.52178955,0.456028581,-0.124706,0.906300485,0.557908118,0.304890066,0.237090692,-0.732784629,-1.124386311,2.150746107,0.493262112,,0.427,
Argentina,2008,7.2,5.961034298,9.822107315,0.89219451,66.26942444,0.678222179,-0.131773502,0.864996254,0.823408544,0.318222284,0.286370575,0.136836872,-0.499129236,2.146841764,0.360145837,0.463,0.476066667,
Argentina,2010,7.11,6.441067219,9.836923599,0.926798582,66.55217743,0.730258167,-0.125791952,0.854695439,0.846135557,0.210975498,0.351856142,0.138445795,-0.469284207,2.107838392,0.327249855,0.445,0.476066667,0.366741836
