ISO_code,country,year,HFI 2018,GDP-PPP-PC 2018,POP 2018,GDP-GROWTH,GDP-GROWTH-2008,DI
ALB,Albania,2008,7.7,9912.58,2866376,,,5.98
ALB,Albania,2010,7.4,10749.48745,2866376,,,5.98
ALB,Albania,2012,7.36,11227.99449,2866376,,,5.98
ALB,Albania,2014,7.45,11586.86377,2866376,,,5.98
ALB,Albania,2016,7.63,12291.87338,2866376,,,5.98
ALB,Albania,2018,7.81,13324,2866376,4.071301295,7.49996956,5.98
DZA,Algeria,2008,5.32,10796.9,42228415,,,3.5
DZA,Algeria,2010,5.02,10970.70637,42228415,,,3.5
DZA,Algeria,2012,5.1,11233.53132,42228415,,,3.5
DZA,Algeria,2014,5.04,11512.70511,42228415,,,3.5
DZA,Algeria,2016,5.3,11826.16642,42228415,,,3.5
DZA,Algeria,2018,5.2,11642.2,42228415,1.2,2.4,3.5
AGO,Angola,2008,5.19,7864.37,30809787,,,3.62
AGO,Angola,2010,4.99,7692.434286,30809787,,,3.62
AGO,Angola,2012,5.66,8036.692402,30809787,,,3.62
AGO,Angola,2016,5.85,7568.998168,30809787,,,3.62
AGO,Angola,2018,5.48,6933,30809787,-2.003629727,11.16613833,3.62
ARG,Argentina,2008,7.2,23103.46,44494502,,,7.02
ARG,Argentina,2010,7.11,23521.27018,44494502,,,7.02
ARG,Argentina,2012,6.8,24118.86752,44494502,,,7.02
ARG,Argentina,2014,6.52,23550.09906,44494502,,,7.02
ARG,Argentina,2016,6.95,23189.52745,44494502,,,7.02
ARG,Argentina,2018,7.05,22759.4,44494502,-2.565351882,4.057233103,7.02
ARM,Armenia,2008,7.44,10467.53,2951741,,,4.79
ARM,Armenia,2010,7.42,9286.197327,2951741,,,4.79
ARM,Armenia,2012,7.44,10397.65466,2951741,,,4.79
ARM,Armenia,2014,7.32,11019.83878,2951741,,,4.79
ARM,Armenia,2016,7.56,11303.06785,2951741,,,4.79
ARM,Armenia,2018,7.69,12715.11,2951741,5.2,6.9,4.79
AUS,Australia,2008,8.7,44835.36,24982688,,,9.09
AUS,Australia,2010,8.63,44991.78371,24982688,,,9.09
AUS,Australia,2012,8.55,46427.3682,24982688,,,9.09
AUS,Australia,2014,8.61,47289.96461,24982688,,,9.09
AUS,Australia,2016,8.63,48197.43119,24982688,,,9.09
AUS,Australia,2018,8.68,49151.69,24982688,2.949285772,3.657953526,9.09
AUT,Austria,2008,8.45,53089.88,8840521,,,8.29
AUT,Austria,2010,8.36,51769.14556,8840521,,,8.29
AUT,Austria,2012,8.45,53221.07866,8840521,,,8.29
AUT,Austria,2014,8.53,52857.05632,8840521,,,8.29
AUT,Austria,2016,8.46,53269.3062,8840521,,,8.29
AUT,Austria,2018,8.45,55297.62,8840521,2.580120733,1.460423676,8.29
AZE,Azerbaijan,2008,6.31,12903.15,9939771,,,2.65
AZE,Azerbaijan,2010,6.17,14312.75612,9939771,,,2.65
AZE,Azerbaijan,2012,6.07,14023.98072,9939771,,,2.65
AZE,Azerbaijan,2014,6.12,14875.78164,9939771,,,2.65
AZE,Azerbaijan,2016,6.06,14238.78414,9939771,,,2.65
AZE,Azerbaijan,2018,6.29,14209.65,9939771,1.500401707,10.59143729,2.65
BHS,"Bahamas, The",2008,7.98,38746.78,385635,,,
BHS,"Bahamas, The",2010,7.56,36504.40705,385635,,,
BHS,"Bahamas, The",2012,7.5,36961.74854,385635,,,
BHS,"Bahamas, The",2014,7.47,35659.93113,385635,,,
BHS,"Bahamas, The",2016,7.66,35558.0725,385635,,,
BHS,"Bahamas, The",2018,7.72,37020,385635,3.025999168,-2.323507236,n
BHR,Bahrain,2008,7.13,46408.83,1569440,,,2.71
BHR,Bahrain,2010,6.93,44599.80497,1569440,,,2.71
BHR,Bahrain,2012,6.71,45035.97855,1569440,,,2.71
BHR,Bahrain,2014,6.75,48201.15717,1569440,,,2.71
BHR,Bahrain,2016,6.24,47937.70906,1569440,,,2.71
BHR,Bahrain,2018,6.18,46200.45,1569440,1.720972887,6.245010775,2.71
BGD,Bangladesh,2008,5.93,2659.05,161376713,,,5.57
BGD,Bangladesh,2010,5.94,2883.466794,161376713,,,5.57
BGD,Bangladesh,2012,5.82,3195.78104,161376713,,,5.57
BGD,Bangladesh,2014,5.81,3511.645506,161376713,,,5.57
BGD,Bangladesh,2016,5.7,3920.144507,161376713,,,5.57
BGD,Bangladesh,2018,5.67,4440.86,161376713,7.86374303,6.013789759,5.57
BRD,Barbados,2008,7.16,16946.67,286640,,,
BRD,Barbados,2010,7.33,15596.61681,286640,,,
BRD,Barbados,2012,7.41,15335.84805,286640,,,
BRD,Barbados,2014,6.78,15041.55475,286640,,,
BRD,Barbados,2016,7.2,15738.07866,286640,,,
BRD,Barbados,2018,6.99,15674.9,286640,-0.580333154,0.701030928,n
BLR,Belarus,2008,N,15942.9,9483499,,,3.13
