areaCode,areaName,areaType,date,newAdmissions
E40000003,London,nhsRegion,2021-12-01,114
E40000003,London,nhsRegion,2021-11-30,105
E40000003,London,nhsRegion,2021-11-29,101
E40000003,London,nhsRegion,2021-11-28,106
E40000003,London,nhsRegion,2021-11-27,94
E40000003,London,nhsRegion,2021-11-26,106
E40000003,London,nhsRegion,2021-11-25,90
E40000003,London,nhsRegion,2021-11-24,108
E40000003,London,nhsRegion,2021-11-23,81
E40000003,London,nhsRegion,2021-11-22,73
E40000003,London,nhsRegion,2021-11-21,86
E40000003,London,nhsRegion,2021-11-20,86
E40000003,London,nhsRegion,2021-11-19,76
E40000003,London,nhsRegion,2021-11-18,104
E40000003,London,nhsRegion,2021-11-17,96
E40000003,London,nhsRegion,2021-11-16,92
E40000003,London,nhsRegion,2021-11-15,115
E40000003,London,nhsRegion,2021-11-14,105
E40000003,London,nhsRegion,2021-11-13,83
E40000003,London,nhsRegion,2021-11-12,90
E40000003,London,nhsRegion,2021-11-11,106
E40000003,London,nhsRegion,2021-11-10,99
E40000003,London,nhsRegion,2021-11-09,96
E40000003,London,nhsRegion,2021-11-08,121
E40000003,London,nhsRegion,2021-11-07,90
E40000003,London,nhsRegion,2021-11-06,89
E40000003,London,nhsRegion,2021-11-05,82
E40000003,London,nhsRegion,2021-11-04,81
E40000003,London,nhsRegion,2021-11-03,82
E40000003,London,nhsRegion,2021-11-02,100
E40000003,London,nhsRegion,2021-11-01,108
E40000003,London,nhsRegion,2021-10-31,103
E40000003,London,nhsRegion,2021-10-30,80
E40000003,London,nhsRegion,2021-10-29,92
E40000003,London,nhsRegion,2021-10-28,88
E40000003,London,nhsRegion,2021-10-27,98
E40000003,London,nhsRegion,2021-10-26,107
E40000003,London,nhsRegion,2021-10-25,98
E40000003,London,nhsRegion,2021-10-24,96
E40000003,London,nhsRegion,2021-10-23,93
E40000003,London,nhsRegion,2021-10-22,109
E40000003,London,nhsRegion,2021-10-21,71
E40000003,London,nhsRegion,2021-10-20,101
E40000003,London,nhsRegion,2021-10-19,105
E40000003,London,nhsRegion,2021-10-18,94
E40000003,London,nhsRegion,2021-10-17,106
E40000003,London,nhsRegion,2021-10-16,100
E40000003,London,nhsRegion,2021-10-15,99
E40000003,London,nhsRegion,2021-10-14,105
E40000003,London,nhsRegion,2021-10-13,97
E40000003,London,nhsRegion,2021-10-12,93
E40000003,London,nhsRegion,2021-10-11,75
E40000003,London,nhsRegion,2021-10-10,58
E40000003,London,nhsRegion,2021-10-09,67
E40000003,London,nhsRegion,2021-10-08,78
E40000003,London,nhsRegion,2021-10-07,84
E40000003,London,nhsRegion,2021-10-06,76
E40000003,London,nhsRegion,2021-10-05,74
E40000003,London,nhsRegion,2021-10-04,87
E40000003,London,nhsRegion,2021-10-03,57
E40000003,London,nhsRegion,2021-10-02,82
E40000003,London,nhsRegion,2021-10-01,70
E40000003,London,nhsRegion,2021-09-30,66
E40000003,London,nhsRegion,2021-09-29,81
E40000003,London,nhsRegion,2021-09-28,73
E40000003,London,nhsRegion,2021-09-27,86
E40000003,London,nhsRegion,2021-09-26,72
E40000003,London,nhsRegion,2021-09-25,81
E40000003,London,nhsRegion,2021-09-24,87
E40000003,London,nhsRegion,2021-09-23,88
E40000003,London,nhsRegion,2021-09-22,80
E40000003,London,nhsRegion,2021-09-21,86
E40000003,London,nhsRegion,2021-09-20,97
E40000003,London,nhsRegion,2021-09-19,70
E40000003,London,nhsRegion,2021-09-18,78
E40000003,London,nhsRegion,2021-09-17,76
E40000003,London,nhsRegion,2021-09-16,103
E40000003,London,nhsRegion,2021-09-15,89
E40000003,London,nhsRegion,2021-09-14,90
E40000003,London,nhsRegion,2021-09-13,98
E40000003,London,nhsRegion,2021-09-12,91
E40000003,London,nhsRegion,2021-09-11,109
E40000003,London,nhsRegion,2021-09-10,101
E40000003,London,nhsRegion,2021-09-09,114
E40000003,London,nhsRegion,2021-09-08,133
E40000003,London,nhsRegion,2021-09-07,123
E40000003,London,nhsRegion,2021-09-06,142
E40000003,London,nhsRegion,2021-09-05,100
E40000003,London,nhsRegion,2021-09-04,88
E40000003,London,nhsRegion,2021-09-03,102
E40000003,London,nhsRegion,2021-09-02,122
E40000003,London,nhsRegion,2021-09-01,124
E40000003,London,nhsRegion,2021-08-31,141
E40000003,London,nhsRegion,2021-08-30,146
E40000003,London,nhsRegion,2021-08-29,118
E40000003,London,nhsRegion,2021-08-28,116
E40000003,London,nhsRegion,2021-08-27,112
E40000003,London,nhsRegion,2021-08-26,115
E40000003,London,nhsRegion,2021-08-25,139
E40000003,London,nhsRegion,2021-08-24,165
E40000003,London,nhsRegion,2021-08-23,147
E40000003,London,nhsRegion,2021-08-22,134
E40000003,London,nhsRegion,2021-08-21,124
E40000003,London,nhsRegion,2021-08-20,120
