DATE,A939RX0Q048SBEA,Administration,Months-Since-In-Office,Party,GDP-Index-From-Term-Start,Rep-Sen,Dem-Sen
01/01/1947,14213,Truman,21,Democrat,100,51,49
01/04/1947,14111,Truman,24,Democrat,99.28234715,,
01/07/1947,14018,Truman,27,Democrat,98.6280166,,
01/10/1947,14171,Truman,30,Democrat,99.70449588,,
01/01/1948,14326,Truman,33,Democrat,100.7950468,,
01/04/1948,14505,Truman,36,Democrat,102.0544572,,
01/07/1948,14525,Truman,39,Democrat,102.1951734,,
01/10/1948,14474,Truman,42,Democrat,101.836347,,
01/01/1949,14212,Truman,45,Democrat,99.99296419,,
01/04/1949,14107,Truman,48,Democrat,99.2542039,,
01/07/1949,14192,Truman,51,Democrat,99.85224794,,
01/10/1949,14009,Truman,54,Democrat,98.56469429,,
01/01/1950,14500,Truman,57,Democrat,102.0192781,,
01/04/1950,14889,Truman,60,Democrat,104.7562091,,
01/07/1950,15398,Truman,63,Democrat,108.3374376,,
01/10/1950,15623,Truman,66,Democrat,109.9204953,,
01/01/1951,15769,Truman,69,Democrat,110.9477239,,
01/04/1951,15979,Truman,72,Democrat,112.4252445,,
01/07/1951,16234,Truman,75,Democrat,114.2193766,,
01/10/1951,16192,Truman,78,Democrat,113.9238725,,
01/01/1952,16299,Truman,81,Democrat,114.6767044,,
01/04/1952,16271,Truman,84,Democrat,114.4797017,,
01/07/1952,16317,Truman,87,Democrat,114.803349,,
01/10/1952,16776,Truman,90,Democrat,118.0327869,,
01/01/1953,17025,Truman,93,Democrat,119.7847041,,
01/04/1953,17093,Eisenhower,3,Republican,100,,
01/07/1953,16920,Eisenhower,6,Republican,98.98788978,,
01/10/1953,16586,Eisenhower,9,Republican,97.03387352,,
01/01/1954,16436,Eisenhower,12,Republican,96.1563213,,
01/04/1954,16387,Eisenhower,15,Republican,95.86965424,,
01/07/1954,16496,Eisenhower,18,Republican,96.50734219,,
01/10/1954,16737,Eisenhower,21,Republican,97.91727608,,
01/01/1955,17144,Eisenhower,24,Republican,100.2983678,,
01/04/1955,17353,Eisenhower,27,Republican,101.5210905,,
01/07/1955,17508,Eisenhower,30,Republican,102.4278945,,
01/10/1955,17528,Eisenhower,33,Republican,102.5449014,,
01/01/1956,17388,Eisenhower,36,Republican,101.7258527,,
01/04/1956,17461,Eisenhower,39,Republican,102.1529281,,
01/07/1956,17364,Eisenhower,42,Republican,101.5854443,,
01/10/1956,17562,Eisenhower,45,Republican,102.7438133,,
01/01/1957,17595,Eisenhower,48,Republican,102.9368747,,
01/04/1957,17485,Eisenhower,51,Republican,102.2933365,,
01/07/1957,17578,Eisenhower,54,Republican,102.8374188,,
01/10/1957,17317,Eisenhower,57,Republican,101.310478,,
01/01/1958,16805,Eisenhower,60,Republican,98.31509975,,
01/04/1958,16850,Eisenhower,63,Republican,98.57836541,,
01/07/1958,17166,Eisenhower,66,Republican,100.4270754,,
01/10/1958,17486,Eisenhower,69,Republican,102.2991868,,
01/01/1959,17745,Eisenhower,72,Republican,103.814427,,
01/04/1959,18075,Eisenhower,75,Republican,105.7450418,,
01/07/1959,18011,Eisenhower,78,Republican,105.3706196,,
01/10/1959,17983,Eisenhower,81,Republican,105.2068098,,
01/01/1960,18279,Eisenhower,84,Republican,106.9385128,,
01/04/1960,18072,Eisenhower,87,Republican,105.7274908,,
01/07/1960,18070,Eisenhower,90,Republican,105.7157901,,
01/10/1960,17768,Eisenhower,93,Republican,103.948985,,
01/01/1961,17828,Eisenhower,96,Republican,104.3000059,,
01/04/1961,18061,Kennedy-Johnson,3,Democrat,100,,
01/07/1961,18331,Kennedy-Johnson,6,Democrat,101.4949338,,
01/10/1961,18610,Kennedy-Johnson,9,Democrat,103.0396988,,
01/01/1962,18875,Kennedy-Johnson,12,Democrat,104.5069487,,
01/04/1962,18979,Kennedy-Johnson,15,Democrat,105.082775,,
01/07/1962,19138,Kennedy-Johnson,18,Democrat,105.963125,,
01/10/1962,19124,Kennedy-Johnson,21,Democrat,105.8856099,,
01/01/1963,19269,Kennedy-Johnson,24,Democrat,106.6884447,,
01/04/1963,19422,Kennedy-Johnson,27,Democrat,107.5355739,,
01/07/1963,19774,Kennedy-Johnson,30,Democrat,109.4845247,,
01/10/1963,19827,Kennedy-Johnson,33,Democrat,109.7779746,,
01/01/1964,20182,Kennedy-Johnson,36,Democrat,111.7435358,,
01/04/1964,20337,Kennedy-Johnson,39,Democrat,112.6017386,,
01/07/1964,20580,Kennedy-Johnson,42,Democrat,113.947179,,
01/10/1964,20571,Kennedy-Johnson,45,Democrat,113.8973479,,
01/01/1965,21011,Kennedy-Johnson,48,Democrat,116.3335363,,
01/04/1965,21219,Kennedy-Johnson,51,Democrat,117.4851891,,
01/07/1965,21618,Kennedy-Johnson,54,Democrat,119.6943691,,
01/10/1965,22044,Kennedy-Johnson,57,Democrat,122.0530425,,
01/01/1966,22525,Kennedy-Johnson,60,Democrat,124.7162394,,
01/04/1966,22543,Kennedy-Johnson,63,Democrat,124.8159017,,
01/07/1966,22664,Kennedy-Johnson,66,Democrat,125.4858535,,
01/10/1966,22780,Kennedy-Johnson,69,Democrat,126.1281214,,
01/01/1967,22926,Kennedy-Johnson,72,Democrat,126.936493,,
01/04/1967,22883,Kennedy-Johnson,75,Democrat,126.6984109,,
01/07/1967,23035,Kennedy-Johnson,78,Democrat,127.5400033,,
01/10/1967,23144,Kennedy-Johnson,81,Democrat,128.1435136,,
01/01/1968,23566,Kennedy-Johnson,84,Democrat,130.4800399,,
01/04/1968,23905,Kennedy-Johnson,87,Democrat,132.3570123,,
01/07/1968,24025,Kennedy-Johnson,90,Democrat,133.0214274,,
01/10/1968,24054,Kennedy-Johnson,93,Democrat,133.1819944,,
01/01/1969,24380,Kennedy-Johnson,96,Democrat,134.9869885,,
01/04/1969,24399,Nixon-Ford,3,Republican,100,,
01/07/1969,24491,Nixon-Ford,6,Republican,100.3770646,,
01/10/1969,24300,Nixon-Ford,9,Republican,99.59424567,,
01/01/1970,24204,Nixon-Ford,12,Republican,99.20078692,,
01/04/1970,24163,Nixon-Ford,15,Republican,99.03274724,,
01/07/1970,24303,Nixon-Ford,18,Republican,99.60654125,,
01/10/1970,23960,Nixon-Ford,21,Republican,98.20074593,,
01/01/1971,24535,Nixon-Ford,24,Republican,100.5573999,,
01/04/1971,24597,Nixon-Ford,27,Republican,100.8115087,,
01/07/1971,24723,Nixon-Ford,30,Republican,101.3279233,,
01/10/1971,24705,Nixon-Ford,33,Republican,101.2541498,,
01/01/1972,25099,Nixon-Ford,36,Republican,102.86897,,
01/04/1972,25608,Nixon-Ford,39,Republican,104.9551211,,
01/07/1972,25783,Nixon-Ford,42,Republican,105.6723636,,
01/10/1972,26146,Nixon-Ford,45,Republican,107.1601295,,
01/01/1973,26735,Nixon-Ford,48,Republican,109.5741629,,
01/04/1973,26966,Nixon-Ford,51,Republican,110.520923,,
01/07/1973,26758,Nixon-Ford,54,Republican,109.668429,,
01/10/1973,26946,Nixon-Ford,57,Republican,110.4389524,,
01/01/1974,26660,Nixon-Ford,60,Republican,109.2667732,,
01/04/1974,26666,Nixon-Ford,63,Republican,109.2913644,,
01/07/1974,26347,Nixon-Ford,66,Republican,107.9839338,,
01/10/1974,26177,Nixon-Ford,69,Republican,107.2871839,,
01/01/1975,25806,Nixon-Ford,72,Republican,105.7666298,,
01/04/1975,25928,Nixon-Ford,75,Republican,106.2666503,,
01/07/1975,26294,Nixon-Ford,78,Republican,107.7667118,,
01/10/1975,26579,Nixon-Ford,81,Republican,108.9347924,,
01/01/1976,27119,Nixon-Ford,84,Republican,111.1479979,,
01/04/1976,27260,Nixon-Ford,87,Republican,111.7258904,,
01/07/1976,27339,Nixon-Ford,90,Republican,112.0496742,,
01/10/1976,27464,Nixon-Ford,93,Republican,112.5619902,,
01/01/1977,27724,Nixon-Ford,96,Republican,113.6276077,,
01/04/1977,28195,Carter,3,Democrat,100,,
01/07/1977,28623,Carter,6,Democrat,101.5179996,,
01/10/1977,28543,Carter,9,Democrat,101.2342614,,
01/01/1978,28567,Carter,12,Democrat,101.3193829,,
01/04/1978,29596,Carter,15,Democrat,104.9689661,,
01/07/1978,29806,Carter,18,Democrat,105.713779,,
01/10/1978,30119,Carter,21,Democrat,106.8239049,,
