areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
E12000001,North East,region,10/10/2021,317
E12000001,North East,region,09/10/2021,525
E12000001,North East,region,08/10/2021,508
E12000001,North East,region,07/10/2021,515
E12000001,North East,region,06/10/2021,628
E12000001,North East,region,05/10/2021,812
E12000001,North East,region,04/10/2021,733
E12000001,North East,region,03/10/2021,364
E12000001,North East,region,02/10/2021,594
E12000001,North East,region,01/10/2021,743
E12000001,North East,region,30/09/2021,1111
E12000001,North East,region,29/09/2021,1223
E12000001,North East,region,28/09/2021,1031
E12000001,North East,region,27/09/2021,617
E12000001,North East,region,26/09/2021,357
E12000001,North East,region,25/09/2021,629
E12000001,North East,region,24/09/2021,525
E12000001,North East,region,23/09/2021,569
E12000001,North East,region,22/09/2021,690
E12000001,North East,region,21/09/2021,451
E12000001,North East,region,20/09/2021,442
E12000001,North East,region,19/09/2021,484
E12000001,North East,region,18/09/2021,778
E12000001,North East,region,17/09/2021,660
E12000001,North East,region,16/09/2021,878
E12000001,North East,region,15/09/2021,958
E12000001,North East,region,14/09/2021,516
E12000001,North East,region,13/09/2021,395
E12000001,North East,region,12/09/2021,686
E12000001,North East,region,11/09/2021,789
E12000001,North East,region,10/09/2021,895
E12000001,North East,region,09/09/2021,977
E12000001,North East,region,08/09/2021,793
E12000001,North East,region,07/09/2021,690
E12000001,North East,region,06/09/2021,531
E12000001,North East,region,05/09/2021,709
E12000001,North East,region,04/09/2021,1201
E12000001,North East,region,03/09/2021,1137
E12000001,North East,region,02/09/2021,1327
E12000001,North East,region,01/09/2021,1245
E12000001,North East,region,31/08/2021,927
E12000001,North East,region,30/08/2021,534
E12000001,North East,region,29/08/2021,1086
E12000001,North East,region,28/08/2021,1505
E12000001,North East,region,27/08/2021,1413
E12000001,North East,region,26/08/2021,2132
E12000001,North East,region,25/08/2021,2444
E12000001,North East,region,24/08/2021,1580
E12000001,North East,region,23/08/2021,1004
E12000001,North East,region,22/08/2021,1497
E12000001,North East,region,21/08/2021,1902
E12000001,North East,region,20/08/2021,1714
E12000001,North East,region,19/08/2021,1722
E12000001,North East,region,18/08/2021,2185
E12000001,North East,region,17/08/2021,1642
E12000001,North East,region,16/08/2021,886
E12000001,North East,region,15/08/2021,1723
E12000001,North East,region,14/08/2021,1740
E12000001,North East,region,13/08/2021,1746
E12000001,North East,region,12/08/2021,1818
E12000001,North East,region,11/08/2021,2866
E12000001,North East,region,10/08/2021,1377
