observation_date,CLVMNACSCAB1GQUK,Administration,Party,Months-From-Election,Re-based GDP from Term-start,,
1975-01-01,180405.0,Wilson-Callaghan,Labour,3,1,,
1975-04-01,177442.3,Wilson-Callaghan,Labour,6,0.983577506,,
1975-07-01,176835.5,Wilson-Callaghan,Labour,9,0.980213963,,
1975-10-01,178863.1,Wilson-Callaghan,Labour,12,0.991453119,,
1976-01-01,181693.7,Wilson-Callaghan,Labour,15,1.007143372,,
1976-04-01,181393.5,Wilson-Callaghan,Labour,18,1.005479338,,
1976-07-01,183664.4,Wilson-Callaghan,Labour,21,1.018067127,,
1976-10-01,187560.4,Wilson-Callaghan,Labour,24,1.039662981,,
1977-01-01,187613.7,Wilson-Callaghan,Labour,27,1.039958427,,
1977-04-01,186310.5,Wilson-Callaghan,Labour,30,1.03273468,,
1977-07-01,187608.3,Wilson-Callaghan,Labour,33,1.039928494,,
1977-10-01,190827.0,Wilson-Callaghan,Labour,36,1.057770017,,
1978-01-01,192529.0,Wilson-Callaghan,Labour,39,1.067204346,,
1978-04-01,194771.8,Wilson-Callaghan,Labour,42,1.079636374,,
1978-07-01,197449.6,Wilson-Callaghan,Labour,45,1.094479643,,
1978-10-01,199240.3,Wilson-Callaghan,Labour,48,1.104405643,,
1979-01-01,198533.1,Wilson-Callaghan,Labour,51,1.100485574,,
1979-04-01,207302.7,Wilson-Callaghan,Labour,54,1.1490962,,
1979-07-01,202701.3,Thatcher-Major,Conservative,3,1,,
1979-10-01,204845.6,Thatcher-Major,Conservative,6,1.01057862,,
1980-01-01,202901.2,Thatcher-Major,Conservative,9,1.00098618,,
1980-04-01,198842.4,Thatcher-Major,Conservative,12,0.980962628,,
1980-07-01,198646.1,Thatcher-Major,Conservative,15,0.979994208,,
1980-10-01,196470.2,Thatcher-Major,Conservative,18,0.969259694,,
1981-01-01,196223.3,Thatcher-Major,Conservative,21,0.968041646,,
1981-04-01,196624.9,Thatcher-Major,Conservative,24,0.970022886,,
1981-07-01,198742.9,Thatcher-Major,Conservative,27,0.980471758,,
1981-10-01,198991.6,Thatcher-Major,Conservative,30,0.981698687,,
1982-01-01,199378.6,Thatcher-Major,Conservative,33,0.9836079,,
1982-04-01,201503.9,Thatcher-Major,Conservative,36,0.994092786,,
1982-07-01,202025.7,Thatcher-Major,Conservative,39,0.996667017,,
1982-10-01,203445.6,Thatcher-Major,Conservative,42,1.003671905,,
1983-01-01,207170.7,Thatcher-Major,Conservative,45,1.022049193,,
1983-04-01,208942.3,Thatcher-Major,Conservative,48,1.030789146,,
1983-07-01,211229.5,Thatcher-Major,Conservative,51,1.042072744,,
1983-10-01,213054.5,Thatcher-Major,Conservative,54,1.05107614,,
1984-01-01,214529.5,Thatcher-Major,Conservative,57,1.058352857,,
1984-04-01,212651.1,Thatcher-Major,Conservative,60,1.04908602,,
1984-07-01,214026.7,Thatcher-Major,Conservative,63,1.05587236,,
1984-10-01,218259.1,Thatcher-Major,Conservative,66,1.076752344,,
1985-01-01,220048.9,Thatcher-Major,Conservative,69,1.085582086,,
1985-04-01,224709.1,Thatcher-Major,Conservative,72,1.108572565,,
1985-07-01,224905.3,Thatcher-Major,Conservative,75,1.109540491,,
1985-10-01,225448.8,Thatcher-Major,Conservative,78,1.112221777,,
1986-01-01,228005.5,Thatcher-Major,Conservative,81,1.124834917,,
1986-04-01,229697.6,Thatcher-Major,Conservative,84,1.133182668,,
1986-07-01,230743.0,Thatcher-Major,Conservative,87,1.138340011,,
1986-10-01,234865.1,Thatcher-Major,Conservative,90,1.158675845,,
1987-01-01,237048.3,Thatcher-Major,Conservative,93,1.169446373,,
1987-04-01,240525.6,Thatcher-Major,Conservative,96,1.186601171,,
1987-07-01,246369.6,Thatcher-Major,Conservative,99,1.215431771,,
1987-10-01,249159.6,Thatcher-Major,Conservative,102,1.229195866,,
1988-01-01,253600.0,Thatcher-Major,Conservative,105,1.251101991,,
1988-04-01,255094.9,Thatcher-Major,Conservative,108,1.258476882,,
1988-07-01,258980.1,Thatcher-Major,Conservative,111,1.277644001,,
1988-10-01,261210.3,Thatcher-Major,Conservative,114,1.288646397,,
1989-01-01,262361.5,Thatcher-Major,Conservative,117,1.29432569,,
1989-04-01,264088.9,Thatcher-Major,Conservative,120,1.302847589,,
1989-07-01,264352.0,Thatcher-Major,Conservative,123,1.304145558,,
1989-10-01,264603.4,Thatcher-Major,Conservative,126,1.305385807,,
1990-01-01,266386.8,Thatcher-Major,Conservative,129,1.314183974,,
1990-04-01,267755.2,Thatcher-Major,Conservative,132,1.320934794,,
1990-07-01,264959.8,Thatcher-Major,Conservative,135,1.307144059,,
1990-10-01,264048.2,Thatcher-Major,Conservative,138,1.302646801,,
1991-01-01,263277.6,Thatcher-Major,Conservative,141,1.298845148,,
